Time_s,Net_Produce_MW
0,-3.234768
900,-3.24059
1800,-3.24019
2700,-3.251537
3600,-2.990871
4500,-2.996255
5400,-2.995885
6300,-3.006376
7200,-3.131525
8100,-3.137162
9000,-3.136775
9900,-3.147759
10800,-3.131924
11700,-3.137561
12600,-3.137174
13500,-3.148159
14400,-3.141462
15300,-3.147117
16200,-3.146729
17100,-3.157748
18000,-6.066758
18900,-6.077678
19800,-6.076928
20700,-6.098208
21600,-24.241803
22500,-24.285438
23400,-24.28244
24300,-24.367472
25200,-54.054087
26100,-54.151385
27000,-54.144699
27900,-52.026885
28800,-57.297743
29700,-52.323915
30600,-49.532922
31500,-46.789726
32400,-38.707386
33300,-35.32426
34200,-31.64056
35100,-31.844926
36000,-10.2923
36900,-6.297521
37800,-2.020721
38700,-2.16412
39600,12.75689
40500,12.701716
41400,12.705507
42300,12.597987
43200,14.161648
44100,14.117066
45000,14.12013
45900,14.033252
46800,13.254033
47700,13.207818
48600,13.210993
49500,17.601013
50400,18.693621
51300,14.169051
52200,14.172108
53100,14.085413
54000,9.246769
54900,9.19334
55800,4.925268
56700,4.821151
57600,-6.649943
58500,-6.724297
59400,-2.447444
60300,-2.592338
61200,-13.955353
62100,-14.050546
63000,-14.044005
63900,-14.229508
64800,-18.508673
65700,-14.131981
66600,-14.124877
67500,-14.326352
68400,-7.902332
69300,-7.99469300000001
70200,-7.988347
71100,-3.474953
72000,16.58506
72900,11.834949
73800,11.838847
74700,11.728293
75600,20.05412
76500,20.020145
77400,15.750735
78300,15.684527
79200,28.620261
80100,24.541027
81000,24.541774
81900,20.650647
82800,23.566053
83700,23.560377
84600,23.560767
85500,23.549706
86400,27.343865
87300,27.338024
88200,27.338425
89100,27.327041
90000,27.58856
90900,23.713209
91800,20.037086
92700,16.538563
93600,13.108541
94500,13.102886
95400,9.977386
96300,9.966366
97200,7.02998
98100,7.024324
99000,9.976986
99900,9.965964
100800,9.972683
101700,9.96701
102600,9.9674
103500,13.082232
104400,10.163699
105300,10.152743
106200,10.153496
107100,10.132146
108000,-11.196735
108900,-11.240513
109800,-11.237505
110700,-11.322816
111600,-41.106618
112500,-38.078346
113400,-31.279178
114300,-27.792909
115200,-29.211073
116100,-20.978604
117000,-16.491127
117900,-7.095872
118800,-0.303618
119700,4.9542
120600,4.96143
121500,10.35257
122400,33.927409
123300,39.930915
124200,46.261343
125100,52.695811
126000,70.0072
126900,69.951844
127800,69.955648
128700,69.847777
129600,75.911304
130500,69.030298
131400,62.455035
132300,56.042518
133200,49.183414
134100,32.343564
135000,22.300257
135900,13.036441
136800,1.922566
137700,-8.591024
138600,-14.666118
139500,-22.617835
140400,-29.779738
141300,-29.833342
142200,-29.829658
143100,-29.934116
144000,-41.442764
144900,-41.517361
145800,-41.512235
146700,-41.657604
147600,-53.057819
148500,-53.153323
149400,-53.146761
150300,-53.332871
151200,-57.626046
152100,-57.729773
153000,-57.722645
153900,-57.92478
154800,-51.479729
155700,-51.572393
156600,-51.566026
157500,-51.7466
158400,-31.620915
159300,-31.677833
160200,-31.673922
161100,-31.784838
162000,-18.937006
162900,-18.971093
163800,-18.968751
164700,-19.035176
165600,-6.057093
166500,-6.067996
167400,-6.067247
168300,-6.088493
169200,-3.163543
170100,-3.169238
171000,-3.168846
171900,-3.179943
172800,-3.163788
173700,-3.169483
174600,-3.169092
175500,-3.18019
176400,-2.925243
177300,-2.930509
178200,-2.930147
179100,-2.940408
180000,-3.062811
180900,-3.068324
181800,-3.067945
182700,-3.078689
183600,-3.063201
184500,-3.068715
185400,-3.068336
186300,-3.079081
187200,-3.072531
188100,-3.078061
189000,-3.077681
189900,-3.088459
190800,-5.933637
191700,-5.944318
192600,-5.943584
193500,-5.964397
194400,-23.709874
195300,-23.752552
196200,-23.749619
197100,-23.832786
198000,-52.867998
198900,-52.963161
199800,-52.956622
200700,-53.142066
201600,-58.297268
202500,-58.402203
203400,-58.394993
204300,-58.599482
205200,-56.983742
206100,-57.086313
207000,-57.079265
207900,-57.279146
208800,-37.677056
209700,-35.287835
210600,-32.662965
211500,-32.803218
212400,-19.80777
213300,-16.909461
214200,-16.905753
215100,-13.885025
216000,-7.973899
216900,-11.14339
217800,-14.092667
218700,-16.961258
219600,-17.723379
220500,-25.157118
221400,-25.154012
222300,-25.242096
223200,-24.173464
224100,-24.216976
225000,-24.213986
225900,-24.298779
226800,-29.03125
227700,-29.083507
228600,-29.079916
229500,-29.181749
230400,-40.401136
231300,-40.473858
232200,-40.468861
233100,-40.610576
234000,-51.724257
234900,-51.817361
235800,-51.810963
236700,-51.992396
237600,-56.177665
238500,-56.278785
239400,-56.271837
240300,-56.468891
241200,-50.185831
242100,-50.276166
243000,-50.269958
243900,-50.445995
244800,-30.826151
245700,-30.881638
246600,-30.877826
247500,-30.985954
248400,-18.461041
249300,-18.494271
250200,-18.491988
251100,-18.556743
252000,-5.904853
252900,-5.915482
253800,-5.914752
254700,-5.935464
255600,-3.08403
256500,-3.089582
257400,-3.0892
258300,-3.100018
259200,-3.285082
260100,-3.290995
261000,-3.290589
261900,-3.302112
262800,-3.037391
263700,-3.042859
264600,-3.042483
265500,-3.053137
266400,-3.180233
267300,-3.185958
268200,-3.185564
269100,-3.19672
270000,-3.180638
270900,-3.186363
271800,-3.18597
272700,-3.197126
273600,-3.190325
274500,-3.196068
275400,-3.195673
276300,-3.206864
